Datums,Laiks,Atkartotas reizes
21-01-2024,18:52:41,66
Atkartojuma nr.p.k.,Reizinatajs,Laiks (ms)
1,250000,7.6714
2,250000,9.4087
3,250000,9.823
4,250000,8.3026
5,250000,11.5056
6,250000,8.6544
7,250000,7.2728
8,250000,7.3866
9,250000,7.2972
10,250000,7.5959
11,250000,7.7079
12,250000,7.3139
13,250000,7.3512
14,250000,7.3331
15,250000,7.3249
16,250000,7.4362
17,250000,7.3835
18,250000,7.3513
19,250000,7.2674
20,250000,7.559
21,250000,7.3477
22,250000,7.2887
23,250000,7.248
24,250000,7.4413
25,250000,7.4063
26,250000,7.359
27,250000,7.1567
28,250000,7.4238
29,250000,7.4794
30,250000,7.2698
31,250000,7.2698
32,250000,7.3509
33,250000,7.2855
34,250000,7.4196
35,250000,7.3241
36,250000,7.3319
37,250000,7.31
38,250000,7.4654
39,250000,7.1632
40,250000,7.2961
41,250000,7.3126
42,250000,7.3858
43,250000,7.2741
44,250000,7.1965
45,250000,7.2742
46,250000,7.2788
47,250000,7.2263
48,250000,7.2334
49,250000,7.3954
50,250000,7.2542
51,250000,7.2462
52,250000,7.364
53,250000,7.3944
54,250000,7.1929
55,250000,7.1667
56,250000,7.1819
57,250000,7.1768
58,250000,7.2875
59,250000,7.1879
60,250000,7.2274
61,250000,7.2213
62,250000,7.2313
63,250000,7.2303
64,250000,7.3458
65,250000,7.2212
66,250000,7.1625

Kopejais funkciju laiks (ms),Videjais funkciju laiks (ms)
494.2532000000001,7.48868
