Datums,Laiks,Atkartotas reizes,Python versija,
31/01/2024,18:23:04,10,3.10.11,
Ievada skirklis,Datubāzes veids,,,
Kompānija ar lielu vērtibu tehnoloģija,Vektordatubāze,,,
Atkartojuma nr.p.k.,Laiks (ms),Izvada ID,Izvada tituls,Izvada autors
1,15.9769,2,Cita labāka realitāte jeb stāsts kā es bez drāmas lietoju Hyundai Ioniq electric (28 kWh) jau ceturto gadu,Kursors.lv
2,15.2219,2,Cita labāka realitāte jeb stāsts kā es bez drāmas lietoju Hyundai Ioniq electric (28 kWh) jau ceturto gadu,Kursors.lv
3,14.4895,2,Cita labāka realitāte jeb stāsts kā es bez drāmas lietoju Hyundai Ioniq electric (28 kWh) jau ceturto gadu,Kursors.lv
4,14.6204,2,Cita labāka realitāte jeb stāsts kā es bez drāmas lietoju Hyundai Ioniq electric (28 kWh) jau ceturto gadu,Kursors.lv
5,14.5253,2,Cita labāka realitāte jeb stāsts kā es bez drāmas lietoju Hyundai Ioniq electric (28 kWh) jau ceturto gadu,Kursors.lv
6,14.5668,2,Cita labāka realitāte jeb stāsts kā es bez drāmas lietoju Hyundai Ioniq electric (28 kWh) jau ceturto gadu,Kursors.lv
7,14.3479,2,Cita labāka realitāte jeb stāsts kā es bez drāmas lietoju Hyundai Ioniq electric (28 kWh) jau ceturto gadu,Kursors.lv
8,14.6756,2,Cita labāka realitāte jeb stāsts kā es bez drāmas lietoju Hyundai Ioniq electric (28 kWh) jau ceturto gadu,Kursors.lv
9,14.4235,2,Cita labāka realitāte jeb stāsts kā es bez drāmas lietoju Hyundai Ioniq electric (28 kWh) jau ceturto gadu,Kursors.lv
10,14.792,2,Cita labāka realitāte jeb stāsts kā es bez drāmas lietoju Hyundai Ioniq electric (28 kWh) jau ceturto gadu,Kursors.lv
,,,,
Kopejais funkciju laiks (ms),Videjais funkciju laiks (ms),,,
147.6398,14.76398,,,
