Datums,Laiks,Atkartotas reizes,Python versija
30-01-2024,18:48:04,10,3.10.11
Ievada skirklis,Datubāzes veids
He is Grover,Relāciju datubāze
Atkartojuma nr.p.k.,Laiks (ms),Izvada ID,Izvada Docs,Izvada source
1,1.0412,empty,empty,empty
2,0.37,empty,empty,empty
3,0.3289,empty,empty,empty
4,0.3215,empty,empty,empty
5,0.4235,empty,empty,empty
6,0.3258,empty,empty,empty
7,0.3212,empty,empty,empty
8,0.3065,empty,empty,empty
9,0.3197,empty,empty,empty
10,0.3076,empty,empty,empty

Kopejais funkciju laiks (ms),Videjais funkciju laiks (ms)
4.0659,0.40659
