Datums,Laiks,Atkartotas reizes,Python versija
31-01-2024,18:21:10,10,3.10.11
Ievada skirklis,Datubāzes veids
Raksts par loti lielu kompaniju datoru virziena,Vektordatubāze
Atkartojuma nr.p.k.,Laiks (ms),Izvada ID,Izvada tituls,Izvada autors
1,19.5184,2,Cita labāka realitāte jeb stāsts kā es bez drāmas lietoju Hyundai Ioniq electric (28 kWh) jau ceturto gadu,Kursors.lv
2,19.3839,2,Cita labāka realitāte jeb stāsts kā es bez drāmas lietoju Hyundai Ioniq electric (28 kWh) jau ceturto gadu,Kursors.lv
3,18.1433,2,Cita labāka realitāte jeb stāsts kā es bez drāmas lietoju Hyundai Ioniq electric (28 kWh) jau ceturto gadu,Kursors.lv
4,14.645,2,Cita labāka realitāte jeb stāsts kā es bez drāmas lietoju Hyundai Ioniq electric (28 kWh) jau ceturto gadu,Kursors.lv
5,15.0817,2,Cita labāka realitāte jeb stāsts kā es bez drāmas lietoju Hyundai Ioniq electric (28 kWh) jau ceturto gadu,Kursors.lv
6,16.5425,2,Cita labāka realitāte jeb stāsts kā es bez drāmas lietoju Hyundai Ioniq electric (28 kWh) jau ceturto gadu,Kursors.lv
7,19.5267,2,Cita labāka realitāte jeb stāsts kā es bez drāmas lietoju Hyundai Ioniq electric (28 kWh) jau ceturto gadu,Kursors.lv
8,19.6058,2,Cita labāka realitāte jeb stāsts kā es bez drāmas lietoju Hyundai Ioniq electric (28 kWh) jau ceturto gadu,Kursors.lv
9,19.3208,2,Cita labāka realitāte jeb stāsts kā es bez drāmas lietoju Hyundai Ioniq electric (28 kWh) jau ceturto gadu,Kursors.lv
10,19.4326,2,Cita labāka realitāte jeb stāsts kā es bez drāmas lietoju Hyundai Ioniq electric (28 kWh) jau ceturto gadu,Kursors.lv

Kopejais funkciju laiks (ms),Videjais funkciju laiks (ms)
181.20069999999998,18.12007
