Datums,Laiks,Atkartotas reizes,Python versija
31-01-2024,18:17:23,10,3.10.11
Ievada skirklis,Datubāzes veids
Microsoft,Vektordatubāze
Atkartojuma nr.p.k.,Laiks (ms),Izvada ID,Izvada tituls,Izvada autors
1,17.5432,14,“Microsoft” sasniedzis 3 triljonu dolāru vērtību,Keitija Krastiņa
2,19.3143,14,“Microsoft” sasniedzis 3 triljonu dolāru vērtību,Keitija Krastiņa
3,19.2475,14,“Microsoft” sasniedzis 3 triljonu dolāru vērtību,Keitija Krastiņa
4,19.2445,14,“Microsoft” sasniedzis 3 triljonu dolāru vērtību,Keitija Krastiņa
5,19.2581,14,“Microsoft” sasniedzis 3 triljonu dolāru vērtību,Keitija Krastiņa
6,19.2083,14,“Microsoft” sasniedzis 3 triljonu dolāru vērtību,Keitija Krastiņa
7,16.3628,14,“Microsoft” sasniedzis 3 triljonu dolāru vērtību,Keitija Krastiņa
8,14.2664,14,“Microsoft” sasniedzis 3 triljonu dolāru vērtību,Keitija Krastiņa
9,15.1038,14,“Microsoft” sasniedzis 3 triljonu dolāru vērtību,Keitija Krastiņa
10,16.7084,14,“Microsoft” sasniedzis 3 triljonu dolāru vērtību,Keitija Krastiņa

Kopejais funkciju laiks (ms),Videjais funkciju laiks (ms)
176.25730000000001,17.62573
