Datums,Laiks,Atkartotas reizes,Python versija
31-01-2024,18:21:53,10,3.10.11
Ievada skirklis,Datubāzes veids
Kompānija ar lielu vērtibu tehnoloģija,Vektordatubāze
Atkartojuma nr.p.k.,Laiks (ms),Izvada ID,Izvada tituls,Izvada autors
1,19.6169,2,Cita labāka realitāte jeb stāsts kā es bez drāmas lietoju Hyundai Ioniq electric (28 kWh) jau ceturto gadu,Kursors.lv
2,19.4307,2,Cita labāka realitāte jeb stāsts kā es bez drāmas lietoju Hyundai Ioniq electric (28 kWh) jau ceturto gadu,Kursors.lv
3,19.2705,2,Cita labāka realitāte jeb stāsts kā es bez drāmas lietoju Hyundai Ioniq electric (28 kWh) jau ceturto gadu,Kursors.lv
4,19.2739,2,Cita labāka realitāte jeb stāsts kā es bez drāmas lietoju Hyundai Ioniq electric (28 kWh) jau ceturto gadu,Kursors.lv
5,19.3175,2,Cita labāka realitāte jeb stāsts kā es bez drāmas lietoju Hyundai Ioniq electric (28 kWh) jau ceturto gadu,Kursors.lv
6,19.6947,2,Cita labāka realitāte jeb stāsts kā es bez drāmas lietoju Hyundai Ioniq electric (28 kWh) jau ceturto gadu,Kursors.lv
7,19.7981,2,Cita labāka realitāte jeb stāsts kā es bez drāmas lietoju Hyundai Ioniq electric (28 kWh) jau ceturto gadu,Kursors.lv
8,19.86,2,Cita labāka realitāte jeb stāsts kā es bez drāmas lietoju Hyundai Ioniq electric (28 kWh) jau ceturto gadu,Kursors.lv
9,19.9492,2,Cita labāka realitāte jeb stāsts kā es bez drāmas lietoju Hyundai Ioniq electric (28 kWh) jau ceturto gadu,Kursors.lv
10,20.0631,2,Cita labāka realitāte jeb stāsts kā es bez drāmas lietoju Hyundai Ioniq electric (28 kWh) jau ceturto gadu,Kursors.lv

Kopejais funkciju laiks (ms),Videjais funkciju laiks (ms)
196.27459999999996,19.62746
