Datums,Laiks,Atkartotas reizes,Python versija
30-01-2024,19:45:27,10,3.10.11
Ievada skirklis,Datubāzes veids
"['Log', 'Ben', 'Charming', 'Grover', 'Yes']",Relāciju datubāze
Atkartojuma nr.p.k.,Laiks (ms),Izvada ID,Izvada Docs,Izvada source
1,0.6924,empty,empty,empty
2,0.6505,empty,empty,empty
3,0.6144,empty,empty,empty
4,0.5216,empty,empty,empty
5,0.6311,empty,empty,empty
6,0.5237,empty,empty,empty
7,0.5128,empty,empty,empty
8,0.524,empty,empty,empty
9,0.6346,empty,empty,empty
10,0.54,empty,empty,empty

Kopejais funkciju laiks (ms),Videjais funkciju laiks (ms)
5.8451,0.58451
