Datums,Laiks,Atkartotas reizes,Python versija
30-01-2024,21:18:48,10,3.10.11
Ievada skirklis,Datubāzes veids
Trento Itālija eiro sods,Vektordatubāze
Atkartojuma nr.p.k.,Laiks (ms),Izvada ID,Izvada Docs,Izvada source
1,16.4876,5,Itālijas pilsēta Trento tiek pie 50 000 eiro soda par mākslīgā intelekta ļaunprātīgu izmantošanu,30.01.2024
2,16.8425,5,Itālijas pilsēta Trento tiek pie 50 000 eiro soda par mākslīgā intelekta ļaunprātīgu izmantošanu,30.01.2024
3,16.0879,5,Itālijas pilsēta Trento tiek pie 50 000 eiro soda par mākslīgā intelekta ļaunprātīgu izmantošanu,30.01.2024
4,16.8424,5,Itālijas pilsēta Trento tiek pie 50 000 eiro soda par mākslīgā intelekta ļaunprātīgu izmantošanu,30.01.2024
5,16.3318,5,Itālijas pilsēta Trento tiek pie 50 000 eiro soda par mākslīgā intelekta ļaunprātīgu izmantošanu,30.01.2024
6,17.9592,5,Itālijas pilsēta Trento tiek pie 50 000 eiro soda par mākslīgā intelekta ļaunprātīgu izmantošanu,30.01.2024
7,16.0635,5,Itālijas pilsēta Trento tiek pie 50 000 eiro soda par mākslīgā intelekta ļaunprātīgu izmantošanu,30.01.2024
8,18.4669,5,Itālijas pilsēta Trento tiek pie 50 000 eiro soda par mākslīgā intelekta ļaunprātīgu izmantošanu,30.01.2024
9,16.975,5,Itālijas pilsēta Trento tiek pie 50 000 eiro soda par mākslīgā intelekta ļaunprātīgu izmantošanu,30.01.2024
10,17.443,5,Itālijas pilsēta Trento tiek pie 50 000 eiro soda par mākslīgā intelekta ļaunprātīgu izmantošanu,30.01.2024

Kopejais funkciju laiks (ms),Videjais funkciju laiks (ms)
169.49980000000002,16.94998
