Datums,Laiks,Atkartotas reizes,Python versija
30-01-2024,18:33:09,15,3.10.11
Ievada skirklis,Datubāzes veids
Jappa,Relāciju datubāze
Atkartojuma nr.p.k.,Laiks (ms),Izvada ID,Izvada Docs,Izvada source
1,0.9553,empty,empty,empty
2,0.3227,empty,empty,empty
3,0.3247,empty,empty,empty
4,0.3082,empty,empty,empty
5,0.3087,empty,empty,empty
6,0.3168,empty,empty,empty
7,0.3098,empty,empty,empty
8,0.3407,empty,empty,empty
9,0.3285,empty,empty,empty
10,0.3302,empty,empty,empty
11,0.3107,empty,empty,empty
12,0.3131,empty,empty,empty
13,0.3137,empty,empty,empty
14,0.3064,empty,empty,empty
15,0.3097,empty,empty,empty

Kopejais funkciju laiks (ms),Videjais funkciju laiks (ms)
5.3992,0.35995
